City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Kuytun,RU,2020-06-19 02:26:48,54.34,101.5,55.98,81,100,5.79
202,Puerto Escondido,MX,2020-06-19 02:26:48,15.85,-97.07,82.26,78,100,3.69
203,Hurghada,EG,2020-06-19 02:26:48,27.26,33.81,82.4,32,0,25.28
204,Vagur,FO,2020-06-19 02:26:48,61.47,-6.81,50.68,93,73,10.47
205,Birin,NP,2020-06-19 02:26:48,26.89,88.07,64.58,100,100,2.91
206,Dunedin,NZ,2020-06-19 02:26:49,-45.87,170.5,48.0,72,3,24.0
207,Barrow,US,2020-06-19 02:26:49,71.29,-156.79,46.4,70,75,10.29
208,Balkanabat,TM,2020-06-19 02:26:49,39.51,54.37,85.89,13,0,17.94
209,Kangaatsiaq,GL,2020-06-19 02:26:49,68.31,-53.46,37.13,88,2,10.87
210,Longyearbyen,SJ,2020-06-19 02:26:50,78.22,15.64,44.6,70,20,13.87
211,Luebo,CD,2020-06-19 02:26:50,-5.35,21.42,62.46,59,55,1.5
212,Mahon,ES,2020-06-19 02:26:50,39.89,4.27,66.2,88,28,3.36
213,Poso,ID,2020-06-19 02:26:51,-1.4,120.75,87.03,61,80,2.1
214,Aleksandrovskiy Zavod,RU,2020-06-19 02:26:51,50.92,117.94,70.25,47,39,8.55
215,Selma,US,2020-06-19 02:26:51,36.57,-119.61,93.2,19,0,9.35
216,Balabac,PH,2020-06-19 02:26:51,7.99,117.06,87.76,64,83,3.11
217,Carballo,ES,2020-06-19 02:23:06,43.21,-8.69,53.01,91,95,1.01
218,Lorengau,PG,2020-06-19 02:26:52,-2.02,147.27,83.66,77,5,6.91
219,Zyryanka,RU,2020-06-19 02:26:52,65.75,150.85,86.81,24,78,8.68
220,Malibu,US,2020-06-19 02:26:52,34.01,-118.81,64.0,86,3,3.0
221,Ishigaki,JP,2020-06-19 02:26:52,24.34,124.16,89.6,79,75,19.46
222,Porto Novo,BJ,2020-06-19 02:24:06,6.5,2.6,75.2,100,40,3.36
223,San Juan,AR,2020-06-19 02:26:53,-31.54,-68.54,55.4,36,1,7.23
224,Wladyslawowo,PL,2020-06-19 02:26:53,54.79,18.4,63.0,75,0,5.95
225,Petatlan,MX,2020-06-19 02:26:53,17.52,-101.27,79.32,74,21,3.27
226,Stromness,GB,2020-06-19 02:26:53,58.97,-3.3,52.0,93,100,9.17
227,Ugoofaaru,MV,2020-06-19 02:26:54,5.67,73.0,84.16,76,42,10.04
228,Sorong,ID,2020-06-19 02:26:54,-0.88,131.25,85.35,66,0,4.09
229,Newport,GB,2020-06-19 02:26:54,51.59,-3.0,57.99,98,99,1.01
230,Faya,SA,2020-06-19 02:26:55,18.39,42.45,71.6,59,64,3.49
231,Wasilla,US,2020-06-19 02:22:44,61.58,-149.44,68.0,48,90,5.82
232,San Carlos De Bariloche,AR,2020-06-19 02:25:03,-41.15,-71.31,39.2,86,90,9.17
233,Flinders,AU,2020-06-19 02:26:28,-34.58,150.86,66.0,63,23,13.0
234,Moissala,TD,2020-06-19 02:26:55,8.34,17.77,72.41,91,100,5.32
235,Roela,EE,2020-06-19 02:26:55,59.17,26.59,59.79,93,18,3.42
236,Fairbanks,US,2020-06-19 02:25:24,64.84,-147.72,75.2,29,75,6.93
237,Verkhneyarkeyevo,RU,2020-06-19 02:26:56,55.45,54.31,52.0,73,0,3.18
238,Pevek,RU,2020-06-19 02:26:56,69.7,170.31,42.4,65,0,9.24
239,Calvinia,ZA,2020-06-19 02:26:56,-31.47,19.78,49.69,52,0,9.57
240,Saravena,CO,2020-06-19 02:26:57,6.95,-71.88,71.38,91,100,2.13
241,Tuatapere,NZ,2020-06-19 02:26:57,-46.13,167.68,44.42,61,0,1.57
242,Farkhor,TJ,2020-06-19 02:26:57,37.49,69.4,77.0,25,0,4.47
243,Pisco,PE,2020-06-19 02:26:57,-13.7,-76.22,64.4,82,90,6.93
244,Mount Gambier,AU,2020-06-19 02:25:49,-37.83,140.77,59.0,58,25,19.46
245,San Jose,US,2020-06-19 02:26:58,37.34,-121.89,84.99,26,75,16.11
246,Bahce,TR,2020-06-19 02:26:58,37.2,36.58,68.0,68,40,20.8
247,Ambon,ID,2020-06-19 02:26:59,-3.7,128.18,81.0,100,75,6.93
248,San Quintin,MX,2020-06-19 02:26:59,30.48,-115.95,64.47,69,0,9.13
249,San Cristobal,VE,2020-06-19 02:26:01,7.77,-72.22,65.88,92,100,1.32
250,Vila Do Maio,CV,2020-06-19 02:26:59,15.13,-23.22,78.8,69,0,23.04
251,Husavik,IS,2020-06-19 02:26:59,66.04,-17.34,44.6,81,0,13.87
252,Nang Rong,TH,2020-06-19 02:26:59,14.64,102.79,82.4,78,20,9.17
253,Umm Lajj,SA,2020-06-19 02:27:00,25.02,37.27,79.66,53,0,4.99
254,Cidreira,BR,2020-06-19 02:27:00,-30.18,-50.21,66.94,95,25,7.76
255,Sitka,US,2020-06-19 02:27:00,57.05,-135.33,53.6,87,90,16.11
256,Shiozawa,JP,2020-06-19 02:27:01,37.03,138.85,66.0,95,100,2.77
257,Yulara,AU,2020-06-19 02:27:01,-25.24,130.99,69.8,19,0,9.17
258,Leninskoye,RU,2020-06-19 02:27:01,47.94,132.62,63.91,62,20,7.63
259,Tromso,NO,2020-06-19 02:22:34,69.65,18.96,42.8,81,75,13.87
260,Sembakung,ID,2020-06-19 02:23:14,3.82,117.25,85.37,76,100,2.66
261,College,US,2020-06-19 02:27:01,64.86,-147.8,75.2,31,75,4.29
262,Fasa,IR,2020-06-19 02:27:02,28.94,53.65,66.2,34,0,4.7
263,Chimoio,MZ,2020-06-19 02:27:02,-19.12,33.48,57.2,100,75,8.05
264,Murmashi,RU,2020-06-19 02:27:02,68.82,32.81,44.6,87,75,2.24
265,Ahipara,NZ,2020-06-19 02:27:02,-35.17,173.17,57.51,62,17,11.36
266,Viedma,AR,2020-06-19 02:27:02,-40.81,-63.0,56.71,42,100,19.6
267,Kaspiyskiy,RU,2020-06-19 02:27:03,45.39,47.37,80.91,47,99,18.19
268,Ponta Pora,BR,2020-06-19 02:27:03,-22.54,-55.73,66.07,74,0,6.31
269,Salalah,OM,2020-06-19 02:27:03,17.02,54.09,84.2,83,75,2.24
270,Aklavik,CA,2020-06-19 02:27:03,68.22,-135.01,64.4,52,40,10.29
271,Alugan,PH,2020-06-19 02:27:03,12.22,125.48,85.1,64,100,2.98
272,Port Lincoln,AU,2020-06-19 02:22:16,-34.73,135.87,61.57,63,1,18.12
273,Garowe,SO,2020-06-19 02:27:04,8.41,48.48,79.79,55,62,21.09
274,Katsuura,JP,2020-06-19 02:25:02,35.13,140.3,68.0,100,75,10.29
275,Imbituba,BR,2020-06-19 02:27:04,-28.24,-48.67,69.8,88,89,4.7
276,Sao Filipe,CV,2020-06-19 02:25:10,14.9,-24.5,80.51,61,0,8.08
277,Bairiki,KI,2020-06-19 02:27:05,1.33,172.98,87.8,62,40,5.82
278,Carutapera,BR,2020-06-19 02:27:05,-1.2,-46.02,74.52,92,100,6.6
279,Aitape,PG,2020-06-19 02:27:05,-3.14,142.35,86.41,64,15,5.5
280,Arandis,NA,2020-06-19 02:27:06,-22.42,14.97,75.99,32,0,24.23
281,Hovd,MN,2020-06-19 02:27:06,48.01,91.64,67.48,25,98,7.72
282,Naze,JP,2020-06-19 02:27:06,28.37,129.48,87.8,74,75,18.34
283,Padang,ID,2020-06-19 02:27:06,-0.95,100.35,79.75,74,98,2.89
284,Vawkavysk,BY,2020-06-19 02:27:07,53.16,24.45,61.65,92,50,7.16
285,Margate,GB,2020-06-19 02:27:07,51.38,1.39,60.01,92,81,1.99
286,Esperance,AU,2020-06-19 02:27:07,-33.87,121.9,53.6,93,90,12.75
287,Dana Point,US,2020-06-19 02:27:07,33.47,-117.7,66.99,77,0,3.96
288,Torbay,CA,2020-06-19 02:27:07,47.67,-52.73,60.01,77,90,18.34
289,Sola,VU,2020-06-19 02:27:08,-13.88,167.55,79.56,76,60,16.89
290,Mareeba,AU,2020-06-19 02:24:01,-17.0,145.43,77.0,65,90,17.22
291,Birao,CF,2020-06-19 02:27:08,10.28,22.79,77.38,68,81,5.66
292,Kingaroy,AU,2020-06-19 02:27:08,-26.53,151.83,64.4,63,75,11.41
293,Hithadhoo,MV,2020-06-19 02:27:08,-0.6,73.08,84.45,75,93,6.42
294,Banjar,ID,2020-06-19 02:27:09,-8.19,114.97,84.2,79,40,23.04
295,Owando,CG,2020-06-19 02:27:09,-0.48,15.9,72.7,79,63,1.61
296,Bayji,IQ,2020-06-19 02:27:09,34.93,43.49,80.51,24,0,13.38
297,Xai-Xai,MZ,2020-06-19 02:27:09,-25.05,33.64,63.79,90,100,9.37
298,Ca Mau,VN,2020-06-19 02:27:09,9.18,105.15,87.33,66,100,6.11
299,Sampit,ID,2020-06-19 02:27:10,-2.53,112.95,83.17,73,100,4.03
300,Pangnirtung,CA,2020-06-19 02:27:10,66.15,-65.71,38.07,76,98,1.79
301,Pauini,BR,2020-06-19 02:27:10,-7.71,-66.98,75.06,78,34,0.89
302,Ngunguru,NZ,2020-06-19 02:27:11,-35.62,174.5,60.01,76,56,8.01
303,Yabassi,CM,2020-06-19 02:27:11,4.46,9.97,78.8,100,75,2.62
